游戏名称,价格,好评率,好评人数,平均游玩时长,标签,所属主类
//N.P.P.D. RUSH//- The milk of Ultraviolet,¥ 18.00,40%,353,4.2h,"独立, 弹幕射击, 复古, 动作, 射击, 光明会, 超现实, 赛博朋克, 清版射击, 试验性, 迷幻, 2D, 动作角色扮演",动作类; 射击类; 角色扮演类
Quest of Dungeons,¥ 22.00,78%,478,5.9h,"传统类 Rogue, 回合制战术, 迷宫探索, 休闲, 探索, 永久死亡, 困难, 回合制, 生存, 类 Rogue, 角色扮演, 2D, 俯视, 欢乐, 程序生成, 像素图形, 暗杀, 奇幻, 职业导向, 冒险",冒险类; 角色扮演类; 休闲类
The Girl and the Robot,¥ 36.00,67%,53,3.9h,"冒险, 动作, 独立, 角色扮演, 女性主角, 解谜, 机器人, 可爱",动作类; 冒险类; 角色扮演类; 解谜类
Depression Quest,¥ 0.00,61%,"3,930",11.7h,"短篇, 独立, 免费开玩, 互动小说, 单人, 自选历险体验, 视觉小说, 心理, 基于文字, 心理恐怖, 恶人主角, 情感, 拟真, 黑暗, 多结局, 剧情, LGBTQ+, 剧情丰富, 困难, 选择取向",冒险类
RUNNING WITH RIFLES,¥ 59.00,88%,"14,485",22.7h,"俯视射击, 动作, 战术, 军事, 人工智能, 开放世界, 沙盒, 战争游戏, 俯视, 可模组化, 多人, 单人, 刷宝, 玩家对战环境, 合作, 在线合作, 射击, 合作战役, 角色扮演, 等角视角",动作类; 射击类; 冒险类; 角色扮演类
Ku: Shroud of the Morrigan,¥ 21.00,29%,34,3.8h,"冒险, 独立, 动作",动作类; 冒险类
1HEART,¥ 36.00,64%,53,4.9h,"冒险, 独立, 恐怖, 指向点击",冒险类; 解谜类
Frozen State,¥ 40.00,63%,516,4.6h,"生存, 角色扮演, 恐怖, 僵尸, 俯视, 制作, 动作, 开放世界生存制作, 生存恐怖, 开放世界, 探索, 独立, 等角视角, 资源管理, 沙盒, 潜行, 单人, 库存管理, 冒险, 后末日",动作类; 冒险类; 角色扮演类
Melody's Escape,¥ 42.00,92%,"4,335",10.2h,"基于音乐的程序生成, 节奏, 角色自定义, 彩色, 女性主角, 风格化, 可模组化, 奔跑, 横向滚屏, 2D, 动作, 音乐, 独立, 单人, 平台游戏, 休闲, 好评原声音轨, 程序生成, 困难, 氛围",动作类; 休闲类
Cypress Inheritance: The Beginning,¥ 158.00,13%,15,1.8h,"冒险, 动作, 角色扮演, 独立, 女性主角, 潜行, 策略, 动作角色扮演, 开放世界, 步行模拟, 科幻, 生存, 单人, 动作冒险, 自选历险体验, 探索, 隐藏物体, 3D, 拟真, 第三人称",动作类; 冒险类; 角色扮演类; 策略类; 解谜类
The Gallery - Episode 1: Call of the Starseed,¥ 50.00,80%,"1,017",1.6h,"冒险, 独立, 虚拟现实, 休闲, 第一人称, 好评原声音轨, 80 年代, 剧集, Kickstarter, 剧情丰富, 氛围, 解谜, 单人",冒险类; 解谜类; 休闲类
Prominence,¥ 68.00,79%,124,5.1h,"冒险, 独立, 休闲, 科幻, 指向点击, 解谜, 第一人称, 太空, 悬疑, 氛围, 单人, 经典, 剧情丰富, 剧情, 人工智能, 调查, 好评原声音轨, 探索, 老式, 放松",冒险类; 解谜类; 休闲类
Dominique Pamplemousse,¥ 6.00,86%,246,2.6h,"休闲, 独立, 冒险, 指向点击, 心理恐怖, LGBTQ+, 音乐, 推理, 欢乐, 喜剧, 短篇, 黑色",冒险类; 解谜类; 休闲类
Robot Roller-Derby Disco Dodgeball,¥ 36.00,91%,"2,245",6.1h,"竞技场射击, 第一人称射击, 体育, 玩家对战, 射击, 竞技, 街机, 第一人称, 彩色, 团队导向, 动作, 休闲, 阖家, 可模组化, 制作, 机器人, 4 人本地, 合作, 本地合作, 本地多人",动作类; 射击类; 体育类; 休闲类
The Forest of Doom (Standalone),¥ 21.00,82%,170,3.5h,"角色扮演, 冒险, 自选历险体验, 小说改编, 视觉小说, 独立, 单人, 奇幻",冒险类; 角色扮演类
EPOCH,¥ 11.00,83%,159,4.2h,"动作, 独立, 机器人, 轨道射击, 射击, 后末日, 第三人称, 科幻, 街机",动作类; 射击类
Yet Another Zombie Defense,免费,86%,"12,360",4.3h,"僵尸, 生存, 多人, 合作, 塔防, 动作, 独立, 射击, 策略, 在线合作, 休闲, 俯视, 恐怖, 免费开玩, 单人, 本地合作, 等角视角, 血腥, 街机, 困难",动作类; 射击类; 冒险类; 策略类; 休闲类
Reversion - The Escape (1st Chapter),¥ 6.00,81%,183,4.7h,"冒险, 独立, 指向点击, 休闲, 解谜, 单人, 2D, 科幻, 卡通风格, 悬疑, 手绘, 推理, 卡通, 后末日, 短篇",冒险类; 解谜类; 休闲类
Long Night,¥ 22.00,48%,66,3.2h,"恐怖, 独立, 冒险, 动作, 生存",动作类; 冒险类
Mage's Initiation: Reign of the Elements,¥ 58.00,89%,105,6.4h,"冒险, 角色扮演, 独立, 动作, 指向点击, 魔法, 奇幻, 像素图形, 复古, 老式",动作类; 冒险类; 角色扮演类; 解谜类
Realms of Arkania 3 - Shadows over Riva Classic,¥ 15.00,83%,66,4.3h,"角色扮演, 奇幻, 经典, 回合制, 迷宫探索, 第一人称, 冒险, 单人, 团队角色扮演, 复古",冒险类; 角色扮演类
Haunt the House: Terrortown,¥ 3.00,87%,"2,119",1.9h,"可爱, 独立, 休闲, 灵异, 动作, 欢乐, 喜剧, 解谜, 唯美, 2D, 阖家, 好评原声音轨, 心理恐怖, 单人, 沙盒, 氛围, 横向滚屏, 彩色, 卡通, 物理",动作类; 解谜类; 休闲类
Etherlords,¥ 21.00,42%,148,8.1h,"策略, 回合战略, 角色扮演, 回合制, 卡牌游戏, 经典, 奇幻, 战术, 回合制战术, 氛围, 集换式卡牌游戏",射击类; 角色扮演类; 策略类
Global ATC Simulator,¥ 109.00,62%,133,44.9h,"模拟, 管理, 单人, 拟真, 可模组化, 物理, 飞行, 2D, 策略, 休闲, 汽车模拟, 时间管理, 基于文字, 教育, 放松, 逻辑, 多人, 心理恐怖, 动漫, 步行模拟",冒险类; 模拟类; 策略类; 竞速类; 休闲类
Realms of Arkania 2 - Star Trail Classic,¥ 15.00,84%,59,4.6h,"角色扮演, 经典, 回合制, 奇幻, 迷宫探索, 第一人称, 团队角色扮演, 电脑角色扮演, 单人, 冒险",冒险类; 角色扮演类
Etherlords II,¥ 21.00,85%,364,19.2h,"角色扮演, 卡牌游戏, 回合制, 回合战略, 策略, 奇幻, 回合制战术, 战术, 冒险, 经典, 独立, 氛围, 单人, 好评原声音轨, 魔法, 集换式卡牌游戏",射击类; 冒险类; 角色扮演类; 策略类
Jones On Fire,¥ 15.00,81%,86,3.4h,"奔跑, 猫, 可爱, 横向滚屏, 竞速, 体素, 3D 平台, 2.5D, 休闲, 永久死亡, 街机, 女性主角, 程序生成, 动作, 生存, 阖家, 喜剧, 复古, 单人, 独立",动作类; 竞速类; 休闲类
Car Mechanic Simulator 2014,¥ 29.00,82%,"4,025",6.7h,"汽车模拟, 模拟, 单人, 教育, 第一人称, 拟真, 解谜, 竞速, 多人, 策略, 独立, 休闲, 好评原声音轨, 管理, 角色扮演",角色扮演类; 模拟类; 策略类; 竞速类; 解谜类; 休闲类
American Truck Simulator,¥ 748.20,97%,"159,530",42.0h,"汽车模拟, 驾驶, 开放世界, 模拟, 交通运输, 美国, 拟真, 可模组化, 放松, 探索, 经济, 管理, 氛围, 沉浸式模拟, 多人, 单人, 冒险, 休闲, 阖家, 关卡编辑",冒险类; 模拟类; 竞速类; 休闲类
Worms World Party Remastered,¥ 70.00,51%,"1,380",5.2h,"策略, 动作, 多人, 欢乐, 独立, 回合制, 经典, 本地多人, 2D, 卡通风格, 彩色, 阖家, 重制, 单人, 喜剧, 回合战略",动作类; 策略类
Offworld Trading Company,¥ 108.00,76%,"3,571",11.5h,"重玩价值, 氛围, 3D, 玩家对战, 策略, 科幻, 模拟, 彩色, 经济, 资源管理, 殖民模拟, 城市营造, 多人, 探索, 管理, 单人, 太空, 基地建设, 在线合作, 生存",冒险类; 模拟类; 策略类
Star Control®: Origins,¥ 70.00,74%,"2,047",11.2h,"欢乐, 剧情丰富, 选择取向, 第三人称, 射击, 第三人称射击, 探索, 竞技, 动作冒险, 黑色幽默, 动作, 冒险, 科幻, 外星人, 太空, 氛围, 可模组化, 战斗, 本地多人, 多结局",动作类; 射击类; 冒险类
Sniper Art of Victory,¥ 15.00,32%,"1,249",6.0h,"动作, 狙击手, 第一人称射击, 二战, 单人, 射击, 第一人称",动作类; 射击类
Space Farmers,¥ 37.00,78%,247,4.6h,"独立, 动作, 合作, 太空, 多人, 解谜, 本地合作, 在线合作, 射击, 策略",动作类; 射击类; 策略类; 解谜类
Industry Giant 2,¥ 36.00,86%,849,14.2h,"策略, 模拟, 经济, 管理, 城市营造",模拟类; 策略类
Dungeon Lords Steam Edition,¥ 48.00,78%,587,11.7h,"角色扮演, 奇幻, 合作, 矮人, 单人, 第三人称, 经典, 多人, 动作, 在线合作, 迷宫探索, 冒险, 动作角色扮演",动作类; 冒险类; 角色扮演类
Super Killer Hornet: Resurrection,¥ 15.00,65%,193,4.6h,"独立, 清版射击, 弹幕射击, 街机, 单人, 俯视",动作类
Transport Giant,¥ 36.00,61%,429,21.4h,"模拟, 策略, 火车, 经济, 管理, 交通运输",模拟类; 策略类
10 Second Ninja,¥ 11.00,91%,369,3.6h,"独立, 动作, 平台游戏, 忍者, 快节奏, 解谜, 2D, 时间竞速, 困难, 单人, 2D 平台",动作类; 解谜类
Humanity Asset,¥ 11.00,43%,30,4.5h,"动作, 独立, 平台游戏, 横向滚屏, 清版射击, 2D, 类银河战士恶魔城",动作类
Hexcells Plus,¥ 15.00,95%,"2,234",9.6h,"解谜, 独立, 休闲, 逻辑, 策略, 单人, 极简主义, 放松, 困难, 触控, 短篇, 六角格棋盘, 好评原声音轨, 2D, 仅鼠标",策略类; 解谜类; 休闲类
Card City Nights,¥ 42.00,89%,657,4.4h,"卡牌战斗, 卡牌游戏, 牌组构建, 独立, 集换式卡牌游戏, 休闲, 单人, 冒险, 好评原声音轨, 可爱, 欢乐, 回合制, 女性主角, 解谜, 策略, 棋盘游戏, 2D",冒险类; 策略类; 解谜类; 休闲类
Worlds Adrift Island Creator,免费开玩,83%,552,2.4h,"模拟, 免费开玩, 建造, 独立, 开放世界, 多人, 关卡编辑",冒险类; 模拟类
Hero and Daughter+,¥ 49.85,87%,235,10.1h,"角色扮演, 独立, RPG 制作大师, 动漫, 裸露, 日系角色扮演",角色扮演类
Dreamscape,¥ 42.00,76%,25,3.9h,"角色扮演, 独立, 冒险, 休闲, 策略, RPG 制作大师, 女性主角, 探索, 重玩价值, 欢乐, 日系角色扮演, 动漫, 奇幻, 2D, 悬疑, 单人, 不可思议迷宫",冒险类; 角色扮演类; 策略类; 休闲类
Aveyond 3-1: Lord of Twilight,¥ 42.00,79%,98,3.7h,"像素图形, 日系角色扮演, 喜剧, 回合制战斗, 探索, RPG 制作大师, 剧情丰富, 冒险, 女性主角, 回合制, 2D, 团队角色扮演, 角色扮演, 单人, 故事架构丰富, 动作, 休闲, 奇幻, 吸血鬼, 魔法",动作类; 冒险类; 角色扮演类; 休闲类
KAMI,¥ 18.00,95%,688,10.0h,"解谜, 休闲, 独立, 放松, 2D, 单人, 彩色, 触控, 困难, 唯美",解谜类; 休闲类
Serena,¥ 0.00,76%,"6,553",26.2h,"恐怖, 免费开玩, 独立, 指向点击, 心理恐怖, 剧情丰富, 冒险, 黑暗, 短篇, 第一人称, 悬疑, 氛围, 多人, 单人, 解谜, 步行模拟, 合作, 隐藏物体, 探索, 爱情",冒险类; 解谜类
Sub Rosa,¥ 76.00,70%,"2,847",36.7h,"多人, 第一人称射击, 动作, 射击, 抢先体验, 独立, 开放世界, 犯罪, 第一人称, 模拟, 免费开玩, 物理, 合作, 在线合作, 大型多人在线, 欢乐, 80 年代, 策略, 角色扮演, 休闲",动作类; 射击类; 冒险类; 角色扮演类; 模拟类; 策略类; 休闲类
Torment: Tides of Numenera,¥ 103.00,72%,"2,031",13.5h,"角色扮演, 等角视角, 剧情丰富, 冒险, 电脑角色扮演, 独立, 单人, 选择取向, 回合制战斗, 策略, 氛围, 科幻, 奇幻, 回合制, Kickstarter, 团队角色扮演, 黑暗奇幻, 好评原声音轨, 女性主角, 回合制战术",冒险类; 角色扮演类; 策略类
未获取到,未获取到价格,,,17.0h,,
Shadow Blade: Reload,¥ 37.00,86%,193,4.2h,"动作, 独立, 忍者, 平台游戏, 快节奏, 2.5D, 单人, 横向滚屏",动作类
The Incredible Adventures of Van Helsing II,¥ 58.00,70%,"1,940",8.7h,"角色扮演, 动作, 冒险, 砍杀, 动作角色扮演, 独立, 合作, 蒸汽朋克, 多人, 单人, 等角视角, 迷宫探索, 奇幻, 黑暗奇幻, 刷宝, 吸血鬼, 魔法, 欢乐, 哥特, 塔防",动作类; 冒险类; 角色扮演类; 策略类
Serious Sam's Bogus Detour,¥ 42.00,80%,415,9.3h,"动作, 独立, 像素图形, 俯视射击, 血腥, 合作, 多人, 2D, 暴力, 双摇杆射击, 弹幕射击, 单人, 射击, 本地合作",动作类; 射击类
Vertiginous Golf,¥ 42.00,63%,112,2.5h,"高尔夫, 蒸汽朋克, 迷你高尔夫, 多人, 单人, 4 人本地, 反乌托邦, 资本主义, 架空历史, 唯美, 体育, 本地多人, 模拟, 心理恐怖, 物理, 控制器, 第一人称, 3D, 氛围, 独立",模拟类; 体育类
Detective Grimoire,¥ 3.00,95%,"1,938",3.8h,"探索, 指向点击, 解谜, 视觉小说, 推理, 2D, 欢乐, 对话, 剧情丰富, 彩色, 阖家, 喜剧, 犯罪, 悬疑, 调查, 冒险, 灵异, 单人, 独立, 经典",冒险类; 解谜类
Rail Adventures,¥ 26.00,1 篇用户评测,1,2.9h,"独立, 竞速, 动作, 抢先体验, 虚拟现实",动作类; 竞速类
未获取到,未获取到价格,,,34.6h,,
Pro Rugby Manager 2015,¥ 3.60,19%,130,39.2h,"体育, 策略, 模拟, 英式橄榄球",模拟类; 策略类; 体育类
GAUGE,¥ 18.00,87%,87,7.7h,"独立, 休闲, 单人, 街机",动作类; 休闲类
The Last Federation,¥ 76.00,72%,373,5.3h,"策略, 太空, 模拟, 独立, 回合制, 4X, 科幻, 大战略, 即时含暂停, 战术, 资本主义, 回合战略, 单人, 回合制战术, 好评原声音轨, 弹幕射击, 外星人, 2D, 未来, 回合制战斗",射击类; 模拟类; 策略类
Over 9000 Zombies!,¥ 15.00,87%,"1,212",4.5h,"动作类 Rogue, 僵尸, 多人, 双摇杆射击, 合作, 塔防, 俯视, 像素图形, 类 Rogue, 生存, 本地合作, 网络梗, 动作, 2D, 复古, 街机, 弹幕射击, 4 人本地, 单人, 射击",动作类; 射击类; 策略类
Descent 2,¥ 76.00,93%,162,2.5h,"动作, 经典, 六自由度, 第一人称射击, 老式, 射击, 复古, 科幻, 太空, 第一人称, 单人, 多人, 90 年代, 好评原声音轨, 冒险, 飞行",动作类; 射击类; 冒险类
Descent,¥ 76.00,96%,454,2.2h,"经典, 六自由度, 动作, 射击, 老式, 第一人称射击, 太空, 复古, 90 年代, 科幻, 第一人称, 飞行, 合作, 单人, 困难, 冒险, 怀旧, 像素图形, 好评原声音轨, 多人",动作类; 射击类; 冒险类
Descent: FreeSpace – The Great War,¥ 76.00,77%,230,3.5h,"太空, 动作, 科幻, 飞行, 即时战术, 太空模拟, 单人, 模拟, 太空飞船, 六自由度, 多人, 射击, 第一人称射击, 第一人称, 战争, 战斗, 拟真, 未来, 策略, 3D",动作类; 射击类; 模拟类; 策略类
Freespace 2,¥ 92.00,78%,303,35.5h,"太空, 科幻, 动作, 模拟, 经典, 太空模拟, 可模组化, 单人, 飞行, 多人, 史诗级, 剧情丰富, 六自由度",动作类; 模拟类
Descent 3,¥ 76.00,68%,98,0.8h,"动作, 六自由度, 第一人称射击, 科幻, 经典, 射击, 老式, 太空, 复古",动作类; 射击类
Extreme Roads USA,¥ 22.00,5%,38,5.9h,模拟,模拟类
Formula Truck 2013,¥ 36.00,78%,172,8.6h,"汽车模拟, 竞速, 模拟, 体育, 多人",模拟类; 体育类; 竞速类
Driving School Simulator,¥ 42.00,24%,171,2.5h,"汽车模拟, 模拟, 休闲, 驾驶, 开放世界, 合作, 多人, 第一人称, 拟真, 竞速, 单人, 彩色, 暴力",冒险类; 模拟类; 竞速类; 休闲类
Towtruck Simulator 2015,¥ 22.00,11%,98,2.8h,"汽车模拟, 模拟, 驾驶, 单人",模拟类; 竞速类
Agricultural Simulator 2012: Deluxe Edition,¥ 18.00,36%,25,13.0h,"农场模拟, 模拟, 农业, 农场管理",模拟类
Game Tycoon 1.5,¥ 6.00,11%,320,4.4h,"模拟, 策略, 管理, 经济, 休闲",模拟类; 策略类; 休闲类
Mining & Tunneling Simulator,¥ 22.00,21%,47,8.0h,"模拟, 采矿",模拟类
Forestry 2017 - The Simulation,¥ 42.00,18%,50,9.1h,模拟,模拟类
Stock Car Extreme,¥ 48.00,84%,429,20.1h,"竞速, 汽车模拟, 模拟, 体育, 多人, 拟真",模拟类; 体育类; 竞速类
Aviator - Bush Pilot,¥ 22.00,25%,28,3.9h,"模拟, 动作, 飞行",动作类; 模拟类
Ski-World Simulator,¥ 22.00,17%,29,6.2h,模拟,模拟类
Snowcat Simulator,¥ 18.00,32%,31,4.6h,"模拟, 雪",模拟类
Arctic Trucker Simulator,¥ 22.00,38%,49,9.8h,"动作, 休闲, 模拟, 驾驶, 开放世界, 汽车模拟, 生活模拟, 探索, 拟真, 沉浸式模拟, 第三人称, 氛围, 农业, 雪, 放松, 阖家, 管理, 独立, 自然, 单人",动作类; 冒险类; 模拟类; 竞速类; 休闲类
Ship Simulator: Maritime Search and Rescue,¥ 42.00,50%,113,6.8h,"模拟, 动作, 海军",动作类; 模拟类
Warehouse and Logistics Simulator,¥ 26.00,42%,99,2.7h,"模拟, 动作",动作类; 模拟类
Mechs & Mercs: Black Talons,¥ 36.00,44%,118,4.7h,"战争游戏, 即时战术, 即时, 即时战略, 管理, 角色自定义, 策略, 3D, 俯视, 机甲, 选择取向, 科幻, 太空, 战术, 军事, 战争, 外星人, 战斗, 资源管理, 单人",射击类; 策略类
火线迈阿密2：空号,¥ 58.00,94%,"66,702",14.6h,"好评原声音轨, 血腥, 像素图形, 暴力, 动作, 快节奏, 困难, 复古, 俯视, 80 年代, 独立, 单人, 俯视射击, 氛围, 鲜血, 2D, 射击, 关卡编辑, 街机, 90 年代",动作类; 射击类
Broforce,¥ 58.00,97%,"49,063",10.2h,"美国, 动作, 像素图形, 合作, 2D, 本地合作, 平台游戏, 多人, 独立, 射击, 横向滚屏, 本地多人, 欢乐, 血腥, 复古, 喜剧, 冒险, 街机, 休闲, 史诗级",动作类; 射击类; 冒险类; 休闲类
RONIN,¥ 52.00,72%,"1,592",5.9h,"独立, 动作, 忍者, 回合制, 平台游戏, 潜行, 2D, 女性主角, 回合制战斗, 回合制战术, 单人, 困难, 赛博朋克, 好评原声音轨, 解谜, 像素图形",动作类; 解谜类
NOT A HERO,¥ 76.00,87%,"1,625",3.8h,"像素图形, 动作, 独立, 喜剧, 冒险, 射击, 血腥, 2D, 欢乐, 政治性, 好评原声音轨, 单人, 暴力, 平台游戏, 困难, 快节奏, 清版射击, 复古, 多人",动作类; 射击类; 冒险类
Gods Will Be Watching,¥ 42.00,71%,"2,209",4.2h,"独立, 像素图形, 指向点击, 科幻, 剧情丰富, 冒险, 困难, 黑暗, 选择取向, 单人, 惊悚, 解谜, 氛围, 策略, 生存, 资源管理, 2D, 好评原声音轨, 血腥, 恐怖",冒险类; 策略类; 解谜类
OlliOlli,¥ 52.00,80%,418,1.8h,"滑板, 独立, 体育, 2D, 像素图形, 平台游戏, 单人, 好评原声音轨, 街机, 动作, 滑行, 困难, 休闲",动作类; 体育类; 休闲类
Always Sometimes Monsters,¥ 42.00,79%,"1,386",4.3h,"独立, 角色扮演, RPG 制作大师, 剧情丰富, 像素图形, 选择取向, LGBTQ+, 休闲, 单人, 步行模拟, 好评原声音轨, 冒险, 爱情, 女性主角, 2D, 裸露, 视觉小说, 恐怖, 生活模拟, 互动小说",冒险类; 角色扮演类; 休闲类
Drox Operative,¥ 76.00,88%,273,13.2h,"太空, 独立, 动作, 角色扮演, 动作角色扮演, 科幻, 合作, 程序生成, 单人, 刷宝, 多人, 4X",动作类; 角色扮演类; 策略类
Dropsy,¥ 42.00,93%,"1,590",2.6h,"指向点击, 冒险, 2D, 好评原声音轨, 像素图形, 独立, 超现实, 剧情丰富, 可爱, 氛围, 单人, 解谜, 黑暗, 开放世界, 休闲, 迷幻, 生存恐怖, Kickstarter",冒险类; 解谜类; 休闲类
叛击士 装甲强化版,¥ 85.00,94%,"4,441",5.7h,"双摇杆射击, 动作, 机甲, 俯视射击, 困难, 科幻, 破坏, 赛博朋克, 等角视角, 轻度 Rogue, 动作类 Rogue, 车辆作战, 射击, 俯视, 独立, 反乌托邦, 氛围, 资本主义, 机器人, 原声音轨",动作类; 射击类
阴暗森林 Darkwood,¥ 49.00,95%,"21,324",7.2h,"恐怖, 冒险, 生存恐怖, 动作, 角色扮演, 心理恐怖, 黑暗, 氛围, 生存, 探索, 剧情丰富, 开放世界, 黑暗奇幻, 奇幻, 单人, 动作冒险, 多结局, 战斗, 选择取向, 灵异",动作类; 冒险类; 角色扮演类
Revolution Ace,¥ 21.00,71%,"1,474",6.0h,"清版射击, 动作, 独立, 弹幕射击, 射击, 本地合作, 街机, 多人, 俯视, 单人, 冒险, 复古, 2D, 动漫, 好评原声音轨, 困难, 科幻, 控制器",动作类; 射击类; 冒险类
Canyon Capers,¥ 0.00,,,,独立,
868-HACK,¥ 25.00,90%,117,2.3h,"策略, 独立, 类 Rogue, 黑客, 赛博朋克",模拟类; 策略类
Jet Car Stunts,¥ 15.00,81%,120,2.9h,"精确平台, 3D 平台, 休闲, 竞速, 体育, 跑酷, 驾驶, 平台游戏, 街机, 3D, 欢乐, 解谜, 抽象, 卡通风格, 彩色, 阖家, 越野, 氛围, 快节奏, 单人",动作类; 体育类; 竞速类; 解谜类; 休闲类
Murder Miners,¥ 15.00,87%,"3,966",4.8h,"分屏, 体素, 竞技场射击, 僵尸, 玩家对战, 第一人称射击, 竞技, 关卡编辑, 第一人称, 4 人本地, 射击, 多人, 建造, 动作, 本地多人, 沙盒, 独立, 狙击手, 复古, 合作",动作类; 射击类; 模拟类
Tech Executive Tycoon,¥ 70.00,16%,50,15.4h,"模拟, 策略, 独立, 角色扮演, 管理, 抢先体验",角色扮演类; 模拟类; 策略类
深海惊魂 Depth,¥ 68.00,89%,"23,403",14.7h,"射击, 多人, 水底, 氛围, 团队导向, 恐怖, 第一人称射击, 血腥, 生存, 狩猎, 玩家对战, 合作, 生存恐怖, 动作, 探索, 冒险, 单人, 第一人称, 第三人称, 在线合作",动作类; 射击类; 冒险类
Influent Language Learning Game,¥ 76.00,74%,966,12.4h,"教育, 阖家, 单人, 3D, 探索, 收集马拉松, 可爱, 独立, 外国, 彩色, 风格化, 指向点击, 生活模拟, 隐藏物体, 文字游戏, 休闲, 解谜, 打字, 教程, Kickstarter",冒险类; 解谜类; 休闲类
Post Master,¥ 21.00,48%,161,5.2h,"模拟, 独立, 休闲, 管理",模拟类; 休闲类
Alone in the Dark: Illumination™,¥ 17.00,23%,270,4.7h,"动作, 冒险, 恐怖, 合作, 血腥, 多人, 生存恐怖, 射击, 光明会, 洛夫克拉夫特式, 第三人称, 第三人称射击, 单人",动作类; 射击类; 冒险类
